stock,intrinsic value,latest stock price,safety margin
OTIS,166.0498361631135,78.57,0.4731711985720924
OXY,561.5605238704201,64.19,0.1143064679076548
PARA,293.28497605002275,17.98,0.0613055610353983
PAYC,201.35406554023857,310.0,1.5395765621531474
PAYX,185.2224589238461,120.64,0.651324902503324
PCAR,399.9932259123146,104.32,0.2608044167799699
PCG,275.9191134610165,15.65,0.0567195211802937
PEAK,,25.44,
PEG,213.62896615334884,60.54,0.2833885361620048
PEP,378.4829293281287,181.48,0.4794932239669507
PFE,174.23490333426693,50.37,0.2890924782353507
PFG,280.69643614856767,91.22,0.3249774070936863
PG,284.75475450061765,149.57,0.5252590084485335
PGR,254.35942424857583,131.39,0.5165525137830062
PH,569.3253756872889,289.79,0.5090059434820833
PHM,303.9741734479848,44.09,0.1450452171639659
PKG,657.5846793987387,135.3,0.2057529687639792
PKI,424.1341985552723,139.47,0.3288346011122811
PLD,,116.05,
PM,284.29183272943186,101.53,0.3571330172422815
PNC,,154.79,
PNR,141.0270504828656,44.6,0.3162513847328799
PNW,762.5817516004232,77.99,0.102271002205761
POOL,671.406125114043,322.8,0.4807820303175968
PPG,358.427957172587,131.01,0.3655127826340768
PPL,164.10297597993835,29.13,0.1775104919703659
PRU,,103.93,
PSA,,295.32,
PSX,430.07489738628055,102.57,0.238493342958063
PTC,137.6909520103911,120.47,0.8749304020420202
PWR,286.86214564516587,149.92,0.5226203675735018
PXD,1517.2044900701526,226.37,0.1492020366941658
PYPL,152.07573139374125,72.03,0.4736455931519158
QCOM,491.1681140426018,118.42,0.2410987126695458
QRVO,464.6151457376197,95.44,0.2054173241564911
RCL,-186.99513412600172,57.01,-0.3048742432066992
RE,,332.33,
REG,,66.07,
REGN,2721.9712760264424,760.0,0.2792094121983001
RF,,21.81,
RHI,246.53279995870707,74.34,0.3015420261014013
RJF,324.62900416685954,114.79,0.3536036476303204
RL,493.4401001731209,110.64,0.2242217443640728
RMD,258.0590960743849,222.15,0.860849330170349
ROK,378.5032997188501,254.81,0.673204170714684
ROL,37.53303794894476,39.42,1.0502746954195934
ENPH,37.706027322676256,313.05,8.302386176114952
EOG,796.0475361881648,128.02,0.1608195417738714
EPAM,401.35376183190186,338.25,0.8427727161597367
EQIX,,694.88,
EQR,181.3000606472385,62.33,0.3437947002195302
EQT,217.54741286739613,36.21,0.166446474921177
ES,533.9181962271252,84.24,0.1577769789366101
ESS,,213.51,
ETN,333.5442609858654,158.23,0.4743898142103105
ETR,1271.7828288879678,117.1,0.0920754686571691
ETSY,120.73238395641664,132.31,1.0958948681719296
EVRG,464.6757558451853,59.18,0.1273576235806819
EW,105.14163840618488,73.0,0.6943015260803262
EXC,475.65900472357646,42.73,0.0898332620126303
EXPD,366.4983696291889,109.03,0.2974910914619156
EXPE,233.45457995702932,91.82,0.3933099107196816
EXR,273.480914941155,159.14,0.5819053224764961
F,236.13487635681156,13.37,0.056620183372647
FANG,1385.5439163069882,139.47,0.100660829554751
FAST,84.28696684290829,50.77,0.6023469808164259
FBHS,299.78426174200024,60.67,0.2023788695492417
FCX,255.72967691460923,38.74,0.1514880887795267
FDS,510.89969506489854,455.64,0.8918384653608395
FDX,1713.6050293157498,173.99,0.1015344825811319
FE,314.0700221412834,41.92,0.1334734200806418
FFIV,278.70380099150776,149.61,0.53680645713389
FIS,181.0242242578696,68.24,0.3769661230686557
